"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"Q9BW04",-3.35721293966274,22.6408913529026,-19.9305649326418,1.70714238435456e-06,5.54965743588591e-05,6.09913325145938,"Q9BW04","Q9BW04"
"P03956",4.87904765080559,23.102528568276,19.8830450824314,1.7302627109575e-06,5.54965743588591e-05,6.0867820066162,"P03956","P03956"
"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036",5.82226531423875,23.6540038285351,19.4103997941426,1.98140705636993e-06,6.12820896720127e-05,5.96165035892673,"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036","P08670"
"P16403;P16402;P22492;Q02539",3.4015531124541,22.6840941627776,19.160625097144,2.13130807676896e-06,6.36452687752385e-05,5.89380604448227,"P16403;P16402;P22492;Q02539","P16403"
"P04792",-4.92515368353812,24.3168082635341,-18.8205974428631,2.35730246025621e-06,6.47675261860327e-05,5.79947233778512,"P04792","P04792"
"P05556",3.05007125354915,27.7628191980702,18.7923701584579,2.377296173748e-06,6.47675261860327e-05,5.79153683095239,"P05556","P05556"
"P22735",-4.90404052918736,23.5429548829954,-18.7700352035116,2.39325731865248e-06,6.47675261860327e-05,5.78524633822744,"P22735","P22735"
"P49006",3.90629476114521,25.361174331045,18.5726951383498,2.53988046448207e-06,6.6652620673984e-05,5.72922211659502,"P49006","P49006"
"P31947",-3.04804341087965,26.4283380551884,-18.2166425902684,2.83196584764669e-06,7.04693210328689e-05,5.62607972238295,"P31947","P31947"
"P05106",3.11614859207631,22.1610250976916,18.1982809028684,2.84806724728685e-06,7.04693210328689e-05,5.62068739017491,"P05106","P05106"
"P05362",2.64619644576887,26.6066458388066,17.933609501175,3.09251585898799e-06,7.26775954358305e-05,5.54214495065314,"P05362","P05362"
"Q96S97",5.44749378939386,23.5264836347629,17.8801386456091,3.14484248388006e-06,7.26775954358305e-05,5.52608990069893,"Q96S97","Q96S97"
"P48960;Q9UHX3",3.76322657078783,24.492214997162,17.8357350681007,3.18908617385861e-06,7.26775954358305e-05,5.51270892310026,"P48960;Q9UHX3","P48960"
"P62837;P61077",3.26389046938534,22.5536652857076,17.6875061898661,3.34215796178374e-06,7.4213046023198e-05,5.46771927407776,"P62837;P61077","P62837"
"Q6YHK3",-4.6772430783391,23.8636612191298,-17.1454826729278,3.98027444384607e-06,8.61729417092673e-05,5.29889277988652,"Q6YHK3","Q6YHK3"
"P09758",-2.47708855928567,25.9031079582807,-17.006331564873,4.16647945806144e-06,8.80041758702733e-05,5.25442574912232,"P09758","P09758"
"P27635;Q96L21",-2.60771148973617,21.8163844453212,-16.750629956776,4.53596260231688e-06,9.18616042800368e-05,5.17147552222221,"P27635;Q96L21","P27635"
"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03",3.72166208428576,27.6302867099676,16.7340243416493,4.56125748734594e-06,9.18616042800368e-05,5.16603233997342,"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03","Q5QNW6"
"P31944",-3.76382787092258,23.1346946968856,-16.6617189998695,4.67334378363711e-06,9.19799026506758e-05,5.14225024683526,"P31944","P31944"
"O14745",-2.50019562632343,24.965694856828,-16.5346636235643,4.87822250424798e-06,9.37742128377616e-05,5.10013855421784,"O14745","O14745"
"Q8N271",-5.4287170421117,23.4410417580389,-16.4202177971084,5.07183101291013e-06,9.37742128377616e-05,5.0618512381439,"Q8N271","Q8N271"
"P36952",-5.44676946697491,23.6405842292015,-16.4101080828582,5.08936259050207e-06,9.37742128377616e-05,5.05845275977081,"P36952","P36952"
"P15104",-4.60709047213873,24.0891249609589,-16.0042344111271,5.85564755713392e-06,0.000105645641343291,4.91978317977145,"P15104","P15104"
"P50453",3.85260078460603,22.5173715079088,15.6812791620056,6.56317440246369e-06,0.000115801002441239,4.80624642659491,"P50453","P50453"
"P15144",-7.43368158145817,25.6222147181947,-15.6293915229941,6.68597011785444e-06,0.000115801002441239,4.78773310131735,"P15144","P15144"
"P08582",4.82882223669031,23.4156339261879,15.498741364531,7.00727762654853e-06,0.000115822757445177,4.74077775492317,"P08582","P08582"
"P29373;P29762",-5.94658849079417,23.8576524208751,-15.4973765135935,7.01072846808414e-06,0.000115822757445177,4.74028464537009,"P29373;P29762","P29373"
"P00750",3.03021132801712,23.2190419815587,15.4459903035354,7.1421121756275e-06,0.000115822757445177,4.72168005670589,"P00750","P00750"
"Q99816",-2.86047737813583,23.9535711369471,-15.415205408764,7.22220427487244e-06,0.000115822757445177,4.71049758983429,"Q99816","Q99816"
